"commod","concen","lod"
"AP",0.016,0.001
"AP",0.066,0.003
"AP",0.13,0.025
"AP",0.033,0.003
"AP",0.32,0.025
"AP",0.75,0.025
"AP",0.002,0.0015
"AP",0.007,0.003
"AP",0.02,0.001
"AP",0.004,0.001
"AP",0.4,0.025
"AP",0.38,0.025
"AP",0.027,0.01
"AP",0.01,0.006
"AP",0.19,0.01
"AP",0.042,0.0015
"AP",0.004,0.0015
"AP",0.52,0.025
"AP",0.14,0.01
"AP",0.023,0.0015
"AP",0.013,0.01
"AP",0.012,0.0015
"AP",0.002,0.0015
"AP",0.017,0.0015
"AP",0.32,0.025
"AP",0.007,0.0015
"AP",0.28,0.025
"AP",0.015,0.01
"AP",1.5,0.01
"AP",1.1,0.01
"AP",0.004,0.003
"AP",1.5,0.01
"AP",0.023,0.0015
"AP",0.005,0.001
"AP",0.18,0.025
"AP",0.15,0.025
"AP",0.054,0.003
"AP",0.009,0.003
"AP",0.045,0.025
"AP",0.57,0.01
"AP",0.011,0.002
"AP",0.002,0.001
"AP",0.93,0.025
"AP",0.15,0.025
"AP",0.004,0.003
"AP",0.02,0.01
"AP",0.018,0.002
"AP",0.37,0.025
"AP",0.005,0.003
"AP",0.046,0.003
"AP",0.017,0.001
"AP",0.003,0.003
"AP",0.13,0.025
"AP",0.01,0.005
"AP",0.27,0.01
"AP",0.11,0.025
"AP",0.008,0.0015
"AP",0.004,0.0015
"AP",0.14,0.025
"AP",0.016,0.015
"AP",0.033,0.01
"AP",0.075,0.025
"AP",0.011,0.002
"AP",0.016,0.003
"AP",0.026,0.015
"AP",0.39,0.01
"AP",0.21,0.025
"AP",0.01,0.01
"AP",0.032,0.0015
"AP",0.2,0.025
"AP",0.022,0.003
"AP",0.02,0.0015
"AP",0.001,0.001
"AP",0.008,0.003
"AP",0.028,0.0015
"AP",0.11,0.025
"AP",0.26,0.025
"AP",0.005,0.001
"AP",0.43,0.025
"AP",0.002,0.001
"AP",0.13,0.025
"AP",0.056,0.003
"AP",0.83,0.025
"AP",0.004,0.003
"AP",0.16,0.025
"AP",0.058,0.025
"AP",0.004,0.001
"AP",0.008,0.003
"AP",0.21,0.025
"AP",0.003,0.003
"AP",0.12,0.025
"AP",0.017,0.001
"AP",0.21,0.025
"AP",0.003,0.003
"AP",0.065,0.0015
"AP",0.061,0.003
"AP",0.003,0.003
"AP",0.005,0.001
"AP",0.005,0.001
"AP",0.002,0.0015
"AP",0.006,0.003
"AP",0.009,0.003
"AP",0.008,0.003
"AP",0.7,0.025
"AP",0.042,0.0015
"AP",0.042,0.003
"AP",0.2,0.025
"AP",0.13,0.025
"AP",0.006,0.002
"AP",0.032,0.0015
"AP",0.019,0.003
"AP",0.087,0.0015
"AP",0.004,0.001
"AP",0.042,0.005
"AP",0.065,0.0015
"AP",0.051,0.015
"AP",0.002,0.0015
"AP",0.004,0.002
"AP",0.019,0.003
"AP",1.1,0.025
"AP",0.38,0.025
"AP",0.021,0.003
"AP",0.046,0.003
"AP",0.018,0.003
"AP",0.007,0.0015
"AP",0.81,0.025
"AP",0.017,0.001
"AP",0.21,0.025
"AP",0.039,0.003
"AP",0.003,0.003
"AP",0.007,0.003
"AP",0.018,0.003
"AP",0.057,0.003
"AP",0.009,0.003
"AP",0.011,0.003
"AP",0.004,0.001
"AP",0.042,0.003
"AP",0.013,0.003
"AP",0.24,0.025
"AP",0.02,0.001
"AP",0.044,0.0015
"AP",0.42,0.025
"AP",0.013,0.003
"AP",0.076,0.025
"AP",0.037,0.003
"AP",0.041,0.0015
"AP",0.023,0.003
"AP",0.005,0.003
"AP",0.004,0.003
"AP",0.004,0.003
"AP",0.046,0.003
"AP",0.18,0.025
"AP",0.07,0.025
"AP",0.018,0.006
"AP",0.29,0.01
"AP",0.14,0.01
"AP",0.01,0.003
"AP",0.005,0.001
"AP",0.005,0.003
"AP",0.008,0.003
"AP",0.081,0.003
"AP",0.014,0.0015
"AP",0.002,0.0015
"AP",0.003,0.003
"AP",0.22,0.01
"AP",0.008,0.0015
"AP",0.008,0.003
"AP",0.18,0.025
"AP",0.003,0.0015
"AP",0.002,0.001
"AP",0.17,0.025
"AP",0.01,0.003
"AP",0.14,0.003
"AP",0.004,0.003
"AP",0.14,0.01
"AP",0.066,0.0015
"AP",0.023,0.003
"AP",0.16,0.0015
"AP",0.005,0.001
"AP",0.01,0.003
"AP",0.15,0.025
"AP",0.015,0.01
"AP",0.003,0.003
"AP",0.19,0.01
"AP",0.017,0.006
"AP",0.2,0.025
"AP",2,0.025
"AP",0.19,0.025
"AP",0.007,0.001
"AP",0.04,0.003
"AP",0.19,0.01
"AP",0.11,0.025
"AP",0.006,0.003
"AP",0.12,0.01
"AP",0.017,0.006
"AP",0.004,0.003
"AP",0.098,0.0015
"AP",0.24,0.025
"AP",0.13,0.0015
"AP",0.13,0.025
"AP",0.012,0.002
"AP",0.4,0.025
"AP",1.3,0.025
"AP",1.2,0.025
"AP",0.005,0.003
"AP",0.61,0.025
"AP",0.01,0.0015
"AP",0.32,0.025
"AP",0.007,0.001
"AP",0.32,0.025
"AP",0.42,0.025
"AP",0.45,0.025
"AP",0.002,0.0015
"AP",0.17,0.025
"AP",0.012,0.01
"AP",0.14,0.003
"AP",0.13,0.025
"AP",0.026,0.003
"AP",0.13,0.025
"AP",0.049,0.0015
"AP",0.089,0.01
"AP",0.19,0.025
"AP",0.004,0.0015
"AP",0.051,0.0015
"AP",0.38,0.025
"AP",0.005,0.003
"AP",0.03,0.005
"AP",0.004,0.001
"AP",0.009,0.003
"AP",0.006,0.003
"AP",0.38,0.025
"AP",0.055,0.025
"AP",0.01,0.001
"AP",0.007,0.0015
"AP",0.029,0.0015
"AP",0.035,0.003
"AP",0.004,0.003
"AP",0.32,0.025
"AP",0.82,0.01
"AP",0.026,0.003
"AP",0.087,0.0015
"AP",0.063,0.003
"AP",0.16,0.01
"AP",0.011,0.01
"AP",0.071,0.025
"AP",0.001,0.001
"AP",0.009,0.003
"AP",0.16,0.025
"AP",0.13,0.0015
"AP",1.7,0.025
"AP",1.1,0.01
"AP",0.038,0.0015
"AP",0.004,0.003
"AP",0.047,0.002
"AP",0.033,0.003
"AP",0.28,0.025
"AP",0.12,0.01
"AP",0.025,0.0015
"AP",0.002,0.001
"AP",0.041,0.01
"AP",0.013,0.0015
"AP",0.047,0.0015
"AP",0.13,0.0015
"AP",0.38,0.025
"AP",0.021,0.003
"AP",0.009,0.0015
"AP",0.071,0.0015
"AP",0.24,0.025
"AP",0.13,0.01
"AP",0.003,0.003
"AP",0.014,0.01
"AP",0.63,0.025
"AP",0.006,0.0015
"AP",0.17,0.01
