State,District,Yield,Canal_Dist,Irrigated_Per,Literate,Cultivator,AgLabor,Rain,Temperature,Elevation,SowDate
Uttar Pradesh,Unnao,2965.788195,8.625201548,1,0.173913043,0.255852843,0.011705686,223.8927915,12.81595898,116,4.738676236
Uttar Pradesh,Fatehpur,3248.265368,2.535516645,1,0.481449021,0.088810985,0.053169734,235.6471353,12.54156971,118,4.321697425
Bihar,Aurangabad,2538.735793,0.790972206,0.416649215,0.435587762,0.088566828,0.087761675,309.52772,14.0905447,112,4.11749752
Uttar Pradesh,Ghazipur,3173.908446,7.417225948,0.629603892,0.456441718,0.080368098,0.041717791,314.6497338,13.92136097,72,3.293599734
Uttar Pradesh,Kheri,2961.298041,0.925632627,1,0.501754386,0.161403509,0.089473684,310.8220059,11.64079475,152,6.461492808
Uttar Pradesh,Kaushambi,3087.78553,13.80042938,0.690235978,0.219526986,0.086719224,0.028502122,255.1153729,12.97835922,105,4.751296703
Uttar Pradesh,Agra,3187.299507,4.866989693,0.927174044,0.459259259,0.166666667,0.034156379,183.741356,11.24183655,167,2.386623145
Uttar Pradesh,Varanasi,3219.693702,2.152340763,0.886821792,0.485332343,0.12031192,0.021908652,290.4238627,13.0918951,83,4.653772894
Uttar Pradesh,Chandauli,3219.84778,0.69843066,0.985618155,0.389578164,0.05955335,0.099255583,319.1258122,13.64227486,79,6.494886364
Bihar,Muzaffarpur,2317.541233,6.374497875,0.756097561,0.235795455,0.025568182,0.195454545,377.6814405,13.6139698,52,3.721625522
Uttar Pradesh,Mau,3662.025025,6.922343454,0,0.471491228,0.171052632,0.032894737,350.8255109,13.59960365,72,4.561904762
Uttar Pradesh,Mau,3265.63447,3.87495993,0.935582822,0.558139535,0.046511628,0.059800664,350.8255109,13.0167141,76,4.952380952
Uttar Pradesh,Chandauli,2630.642028,5.567920455,0.998045443,NA,NA,NA,303.7681854,14.88135719,74,5.867147139
Uttar Pradesh,Deoria,3410.174857,15.8712649,0.999891257,0.482732733,0.083333333,0.058558559,369.2071987,13.17439747,71,4.354385965
Uttar Pradesh,Sonbhadra,3025.414897,4.374437453,0.404761905,0,0,0.638297872,298.6965938,12.97954559,298,6.003751804
Haryana,Mahendragarh,3557.819453,4.40093113,0.989583333,0.633628319,0.121238938,0.001769912,151.1241368,8.979016304,291,2.497106617
Bihar,Madhubani,2945.670315,0.10349269,0.743680485,0.46416185,0.025433526,0.087861272,380.9377353,14.35491371,59,5.841058941
Uttar Pradesh,Azamgarh,3200.314316,8.559764448,1,NA,NA,NA,331.0138318,13.36314678,79,4.627210884
Uttar Pradesh,Gorakhpur,3406.897736,30.36461591,0.909263658,0.315789474,0.070175439,0.01754386,341.313846,13.14560604,78,4.197619048
Haryana,Sonipat,3553.594552,2.737773908,1,0.556830803,0.212513884,0.125138837,157.4320735,10.25266647,225,3.679904558
Uttar Pradesh,Budaun,3154.547023,22.2566612,0.96293694,0.22147651,0.241610738,0.006711409,268.9495726,11.34641171,165,5.289896475
Uttar Pradesh,Bahraich,3297.943129,7.594771496,0.731186559,0.070496084,0.023498695,0.020887728,338.0350037,12.48902702,125,4.955860806
Uttar Pradesh,Bahraich,3100.894524,15.36156794,0.752735011,0.375206612,0.10392562,0.090082645,327.4672275,12.48749161,111,4.782040384
Bihar,Lakhisarai,2809.473694,41.16618126,0.953145917,0.373831776,0.178738318,0.045560748,332.063856,14.23898506,61,6.442692939
Uttar Pradesh,Gonda,2793.121238,25.63984817,0.846016703,0.249255214,0.139026812,0.008937438,333.659142,13.05391216,98,NA
Uttar Pradesh,Azamgarh,3303.26112,3.957639897,1,0.772727273,0.113636364,0,314.2565314,12.99565697,84,4.866666667
Uttar Pradesh,Mau,3473.218114,5.289232188,0.870815282,0.404498978,0.097750511,0.004498978,340.9436763,13.07145119,73,4.847829132
Uttar Pradesh,Balrampur,2759.111053,33.89731767,0,NA,NA,NA,414.188998,13.14048767,145,NA
